brand,legitimate_domain,homograph_unicode,homograph_punycode,technique,script,substitution
OneDrive,onedrive.com,oneⅾrive.com,onedrive.com,IDN-homoglyph,Roman-num,d -> U+217E
OneDrive,onedrive.com,onεdrive.com,xn--ondrive-zmf.com,IDN-homoglyph,Greek-eps,e -> U+03B5
OneDrive,onedrive.com,onеdrive.com,xn--ondrive-8gg.com,IDN-homoglyph,Cyrillic,e -> U+0435
OneDrive,onedrive.com,onєdrive.com,xn--ondrive-cog.com,IDN-homoglyph,Cyrillic-ie,e -> U+0454
OneDrive,onedrive.com,oηedrive.com,xn--oedrive-fnf.com,IDN-homoglyph,Greek-eta,n -> U+03B7
OneDrive,onedrive.com,oոedrive.com,xn--oedrive-1ki.com,IDN-homoglyph,Armenian-vo,n -> U+0578
OneDrive,onedrive.com,οnedrive.com,xn--nedrive-7of.com,IDN-homoglyph,Greek-omicron,o -> U+03BF
OneDrive,onedrive.com,оnedrive.com,xn--nedrive-8ig.com,IDN-homoglyph,Cyrillic,o -> U+043E
OneDrive,onedrive.com,օnedrive.com,xn--nedrive-zni.com,IDN-homoglyph,Armenian-oh,o -> U+0585
Outlook,outlook.com,0utlook.com,,ASCII-lookalike,ASCII,o -> 0
Outlook,outlook.com,ou7look.com,,ASCII-lookalike,ASCII,t -> 7
Outlook,outlook.com,out1ook.com,,ASCII-lookalike,ASCII,l -> 1
Outlook,outlook.com,outiook.com,,ASCII-lookalike,ASCII,l -> i
Outlook,outlook.com,outl0ok.com,,ASCII-lookalike,ASCII,o -> 0
Outlook,outlook.com,outlo0k.com,,ASCII-lookalike,ASCII,o -> 0
Outlook,outlook.com,outlooκ.com,xn--outloo-nze.com,IDN-homoglyph,Greek-kappa,k -> U+03BA
Outlook,outlook.com,outlooк.com,xn--outloo-8pf.com,IDN-homoglyph,Cyrillic-ka,k -> U+043A
Outlook,outlook.com,outloοk.com,xn--outlok-m0e.com,IDN-homoglyph,Greek-omicron,o -> U+03BF
Outlook,outlook.com,outloоk.com,xn--outlok-0qf.com,IDN-homoglyph,Cyrillic,o -> U+043E
Outlook,outlook.com,outloօk.com,xn--outlok-fmh.com,IDN-homoglyph,Armenian-oh,o -> U+0585
Outlook,outlook.com,outlοok.com,xn--outlok-l0e.com,IDN-homoglyph,Greek-omicron,o -> U+03BF
Outlook,outlook.com,outlоok.com,xn--outlok-zqf.com,IDN-homoglyph,Cyrillic,o -> U+043E
Outlook,outlook.com,outlօok.com,xn--outlok-emh.com,IDN-homoglyph,Armenian-oh,o -> U+0585
Outlook,outlook.com,outӏook.com,xn--outook-ykg.com,IDN-homoglyph,Cyrillic-palochka,l -> U+04CF
Outlook,outlook.com,out׀ook.com,xn--outook-5xh.com,IDN-homoglyph,Hebrew-paseq,l -> U+05C0
Outlook,outlook.com,outⅼook.com,outlook.com,IDN-homoglyph,Roman-num,l -> U+217C
Outlook,outlook.com,ouτlook.com,xn--oulook-j1e.com,IDN-homoglyph,Greek-tau,t -> U+03C4
Outlook,outlook.com,oυtlook.com,xn--otlook-p1e.com,IDN-homoglyph,Greek-upsilon,u -> U+03C5
Outlook,outlook.com,oսtlook.com,xn--otlook-pkh.com,IDN-homoglyph,Armenian-se,u -> U+057D
Outlook,outlook.com,οutlook.com,xn--utlook-h0e.com,IDN-homoglyph,Greek-omicron,o -> U+03BF
Outlook,outlook.com,оutlook.com,xn--utlook-vqf.com,IDN-homoglyph,Cyrillic,o -> U+043E
Outlook,outlook.com,օutlook.com,xn--utlook-9lh.com,IDN-homoglyph,Armenian-oh,o -> U+0585
PayPal,paypal.com,p4ypal.com,,ASCII-lookalike,ASCII,a -> 4
PayPal,paypal.com,payp4l.com,,ASCII-lookalike,ASCII,a -> 4
PayPal,paypal.com,paypa1.com,,ASCII-lookalike,ASCII,l -> 1
PayPal,paypal.com,paypai.com,,ASCII-lookalike,ASCII,l -> i
PayPal,paypal.com,paypaӏ.com,xn--paypa-iof.com,IDN-homoglyph,Cyrillic-palochka,l -> U+04CF
PayPal,paypal.com,paypa׀.com,xn--paypa-tug.com,IDN-homoglyph,Hebrew-paseq,l -> U+05C0
PayPal,paypal.com,paypaⅼ.com,paypal.com,IDN-homoglyph,Roman-num,l -> U+217C
PayPal,paypal.com,paypɑl.com,xn--paypl-3jc.com,IDN-homoglyph,Latin-alpha,a -> U+0251
PayPal,paypal.com,paypαl.com,xn--paypl-g9d.com,IDN-homoglyph,Greek,a -> U+03B1
PayPal,paypal.com,paypаl.com,xn--paypl-7ve.com,IDN-homoglyph,Cyrillic,a -> U+0430
PayPal,paypal.com,payρal.com,xn--payal-5ce.com,IDN-homoglyph,Greek-rho,p -> U+03C1
PayPal,paypal.com,payрal.com,xn--payal-xye.com,IDN-homoglyph,Cyrillic-er,p -> U+0440
PayPal,paypal.com,paуpal.com,xn--papal-fze.com,IDN-homoglyph,Cyrillic-u,y -> U+0443
PayPal,paypal.com,paүpal.com,xn--papal-xif.com,IDN-homoglyph,Cyrillic-straight-u,y -> U+04AF
PayPal,paypal.com,pɑypal.com,xn--pypal-0jc.com,IDN-homoglyph,Latin-alpha,a -> U+0251
PayPal,paypal.com,pαypal.com,xn--pypal-d9d.com,IDN-homoglyph,Greek,a -> U+03B1
PayPal,paypal.com,pаypal.com,xn--pypal-4ve.com,IDN-homoglyph,Cyrillic,a -> U+0430
PayPal,paypal.com,ρaypal.com,xn--aypal-2ce.com,IDN-homoglyph,Greek-rho,p -> U+03C1
PayPal,paypal.com,рaypal.com,xn--aypal-uye.com,IDN-homoglyph,Cyrillic-er,p -> U+0440
SeekNow,seeknow.com,seeknovv.com,,ASCII-digraph,ASCII,w -> vv
SeekNow,seeknow.com,5eeknow.com,,ASCII-lookalike,ASCII,s -> 5
SeekNow,seeknow.com,s3eknow.com,,ASCII-lookalike,ASCII,e -> 3
SeekNow,seeknow.com,se3know.com,,ASCII-lookalike,ASCII,e -> 3
SeekNow,seeknow.com,seekn0w.com,,ASCII-lookalike,ASCII,o -> 0
SeekNow,seeknow.com,zeeknow.com,,ASCII-lookalike,ASCII,s -> z
SeekNow,seeknow.com,seeknoѡ.com,xn--seekno-1xf.com,IDN-homoglyph,Cyrillic-omega,w -> U+0461
SeekNow,seeknow.com,seeknοw.com,xn--seeknw-m0e.com,IDN-homoglyph,Greek-omicron,o -> U+03BF
SeekNow,seeknow.com,seeknоw.com,xn--seeknw-0qf.com,IDN-homoglyph,Cyrillic,o -> U+043E
SeekNow,seeknow.com,seeknօw.com,xn--seeknw-fmh.com,IDN-homoglyph,Armenian-oh,o -> U+0585
SeekNow,seeknow.com,seekηow.com,xn--seekow-zye.com,IDN-homoglyph,Greek-eta,n -> U+03B7
SeekNow,seeknow.com,seekոow.com,xn--seekow-sjh.com,IDN-homoglyph,Armenian-vo,n -> U+0578
SeekNow,seeknow.com,seeκnow.com,xn--seenow-kze.com,IDN-homoglyph,Greek-kappa,k -> U+03BA
SeekNow,seeknow.com,seeкnow.com,xn--seenow-5pf.com,IDN-homoglyph,Cyrillic-ka,k -> U+043A
SeekNow,seeknow.com,seεknow.com,xn--seknow-jye.com,IDN-homoglyph,Greek-eps,e -> U+03B5
SeekNow,seeknow.com,seеknow.com,xn--seknow-4of.com,IDN-homoglyph,Cyrillic,e -> U+0435
SeekNow,seeknow.com,seєknow.com,xn--seknow-cvf.com,IDN-homoglyph,Cyrillic-ie,e -> U+0454
SeekNow,seeknow.com,sεeknow.com,xn--seknow-iye.com,IDN-homoglyph,Greek-eps,e -> U+03B5
SeekNow,seeknow.com,sеeknow.com,xn--seknow-3of.com,IDN-homoglyph,Cyrillic,e -> U+0435
SeekNow,seeknow.com,sєeknow.com,xn--seknow-bvf.com,IDN-homoglyph,Cyrillic-ie,e -> U+0454
SeekNow,seeknow.com,ѕeeknow.com,xn--eeknow-hvf.com,IDN-homoglyph,Cyrillic-dze,s -> U+0455
SharePoint,sharepoint.com,5harepoint.com,,ASCII-lookalike,ASCII,s -> 5
SharePoint,sharepoint.com,sh4repoint.com,,ASCII-lookalike,ASCII,a -> 4
SharePoint,sharepoint.com,shar3point.com,,ASCII-lookalike,ASCII,e -> 3
SharePoint,sharepoint.com,sharep0int.com,,ASCII-lookalike,ASCII,o -> 0
SharePoint,sharepoint.com,sharepo1nt.com,,ASCII-lookalike,ASCII,i -> 1
SharePoint,sharepoint.com,sharepoin7.com,,ASCII-lookalike,ASCII,t -> 7
SharePoint,sharepoint.com,sharepolnt.com,,ASCII-lookalike,ASCII,i -> l
SharePoint,sharepoint.com,zharepoint.com,,ASCII-lookalike,ASCII,s -> z
SharePoint,sharepoint.com,sharepoinτ.com,xn--sharepoin-e3g.com,IDN-homoglyph,Greek-tau,t -> U+03C4
SharePoint,sharepoint.com,sharepoiηt.com,xn--sharepoit-nzg.com,IDN-homoglyph,Greek-eta,n -> U+03B7
SharePoint,sharepoint.com,sharepoiոt.com,xn--sharepoit-xnk.com,IDN-homoglyph,Armenian-vo,n -> U+0578
SharePoint,sharepoint.com,sharepoınt.com,xn--sharepont-1pb.com,IDN-homoglyph,Latin-dotless,i -> U+0131
SharePoint,sharepoint.com,sharepoιnt.com,xn--sharepont-6zg.com,IDN-homoglyph,Greek-iota,i -> U+03B9
SharePoint,sharepoint.com,sharepoіnt.com,xn--sharepont-19h.com,IDN-homoglyph,Cyrillic-i,i -> U+0456
SharePoint,sharepoint.com,sharepoїnt.com,xn--sharepont-cbi.com,IDN-homoglyph,Cyrillic-yi,i -> U+0457
SharePoint,sharepoint.com,sharepοint.com,xn--sharepint-v1g.com,IDN-homoglyph,Greek-omicron,o -> U+03BF
SharePoint,sharepoint.com,sharepоint.com,xn--sharepint-52h.com,IDN-homoglyph,Cyrillic,o -> U+043E
SharePoint,sharepoint.com,sharepօint.com,xn--sharepint-lrk.com,IDN-homoglyph,Armenian-oh,o -> U+0585
SharePoint,sharepoint.com,shareρoint.com,xn--shareoint-f2g.com,IDN-homoglyph,Greek-rho,p -> U+03C1
SharePoint,sharepoint.com,shareрoint.com,xn--shareoint-p3h.com,IDN-homoglyph,Cyrillic-er,p -> U+0440
SharePoint,sharepoint.com,sharεpoint.com,xn--sharpoint-yyg.com,IDN-homoglyph,Greek-eps,e -> U+03B5
SharePoint,sharepoint.com,sharеpoint.com,xn--sharpoint-j0h.com,IDN-homoglyph,Cyrillic,e -> U+0435
SharePoint,sharepoint.com,sharєpoint.com,xn--sharpoint-e9h.com,IDN-homoglyph,Cyrillic-ie,e -> U+0454
SharePoint,sharepoint.com,shaгepoint.com,xn--shaepoint-xzh.com,IDN-homoglyph,Cyrillic-ghe,r -> U+0433
SharePoint,sharepoint.com,shɑrepoint.com,xn--shrepoint-61d.com,IDN-homoglyph,Latin-alpha,a -> U+0251
SharePoint,sharepoint.com,shαrepoint.com,xn--shrepoint-rxg.com,IDN-homoglyph,Greek,a -> U+03B1
SharePoint,sharepoint.com,shаrepoint.com,xn--shrepoint-1yh.com,IDN-homoglyph,Cyrillic,a -> U+0430
SharePoint,sharepoint.com,sһarepoint.com,xn--sarepoint-q3i.com,IDN-homoglyph,Cyrillic-shha,h -> U+04BB
SharePoint,sharepoint.com,sհarepoint.com,xn--sarepoint-glk.com,IDN-homoglyph,Armenian-ho,h -> U+0570
SharePoint,sharepoint.com,ѕharepoint.com,xn--harepoint-k9h.com,IDN-homoglyph,Cyrillic-dze,s -> U+0455
Slack,slack.com,5lack.com,,ASCII-lookalike,ASCII,s -> 5
Slack,slack.com,s1ack.com,,ASCII-lookalike,ASCII,l -> 1
Slack,slack.com,siack.com,,ASCII-lookalike,ASCII,l -> i
Slack,slack.com,sl4ck.com,,ASCII-lookalike,ASCII,a -> 4
Slack,slack.com,zlack.com,,ASCII-lookalike,ASCII,s -> z
Slack,slack.com,slacκ.com,xn--slac-end.com,IDN-homoglyph,Greek-kappa,k -> U+03BA
Slack,slack.com,slacк.com,xn--slac-o5d.com,IDN-homoglyph,Cyrillic-ka,k -> U+043A
Slack,slack.com,slaϲk.com,xn--slak-nod.com,IDN-homoglyph,Greek-lunate,c -> U+03F2
Slack,slack.com,slaсk.com,xn--slak-n6d.com,IDN-homoglyph,Cyrillic,c -> U+0441
Slack,slack.com,slaⅽk.com,slack.com,IDN-homoglyph,Roman-num,c -> U+217D
Slack,slack.com,slɑck.com,xn--slck-r5b.com,IDN-homoglyph,Latin-alpha,a -> U+0251
Slack,slack.com,slαck.com,xn--slck-1ld.com,IDN-homoglyph,Greek,a -> U+03B1
Slack,slack.com,slаck.com,xn--slck-63d.com,IDN-homoglyph,Cyrillic,a -> U+0430
Slack,slack.com,sӏack.com,xn--sack-vre.com,IDN-homoglyph,Cyrillic-palochka,l -> U+04CF
Slack,slack.com,s׀ack.com,xn--sack-brf.com,IDN-homoglyph,Hebrew-paseq,l -> U+05C0
Slack,slack.com,sⅼack.com,slack.com,IDN-homoglyph,Roman-num,l -> U+217C
Slack,slack.com,ѕlack.com,xn--lack-f9d.com,IDN-homoglyph,Cyrillic-dze,s -> U+0455
Spotify,spotify.com,5potify.com,,ASCII-lookalike,ASCII,s -> 5
Spotify,spotify.com,sp0tify.com,,ASCII-lookalike,ASCII,o -> 0
Spotify,spotify.com,spo7ify.com,,ASCII-lookalike,ASCII,t -> 7
Spotify,spotify.com,spot1fy.com,,ASCII-lookalike,ASCII,i -> 1
Spotify,spotify.com,spotlfy.com,,ASCII-lookalike,ASCII,i -> l
Spotify,spotify.com,zpotify.com,,ASCII-lookalike,ASCII,s -> z
Spotify,spotify.com,spotifу.com,xn--spotif-1rf.com,IDN-homoglyph,Cyrillic-u,y -> U+0443
Spotify,spotify.com,spotifү.com,xn--spotif-neg.com,IDN-homoglyph,Cyrillic-straight-u,y -> U+04AF
Spotify,spotify.com,spotıfy.com,xn--spotfy-s9a.com,IDN-homoglyph,Latin-dotless,i -> U+0131
Spotify,spotify.com,spotιfy.com,xn--spotfy-eze.com,IDN-homoglyph,Greek-iota,i -> U+03B9
Spotify,spotify.com,spotіfy.com,xn--spotfy-svf.com,IDN-homoglyph,Cyrillic-i,i -> U+0456
Spotify,spotify.com,spotїfy.com,xn--spotfy-zvf.com,IDN-homoglyph,Cyrillic-yi,i -> U+0457
Spotify,spotify.com,spoτify.com,xn--spoify-k1e.com,IDN-homoglyph,Greek-tau,t -> U+03C4
Spotify,spotify.com,spοtify.com,xn--sptify-j0e.com,IDN-homoglyph,Greek-omicron,o -> U+03BF
Spotify,spotify.com,spоtify.com,xn--sptify-xqf.com,IDN-homoglyph,Cyrillic,o -> U+043E
Spotify,spotify.com,spօtify.com,xn--sptify-cmh.com,IDN-homoglyph,Armenian-oh,o -> U+0585
Spotify,spotify.com,sρotify.com,xn--sotify-w0e.com,IDN-homoglyph,Greek-rho,p -> U+03C1
Spotify,spotify.com,sрotify.com,xn--sotify-brf.com,IDN-homoglyph,Cyrillic-er,p -> U+0440
Spotify,spotify.com,ѕpotify.com,xn--potify-hvf.com,IDN-homoglyph,Cyrillic-dze,s -> U+0455
UPS,ups.com,up5.com,,ASCII-lookalike,ASCII,s -> 5
UPS,ups.com,upz.com,,ASCII-lookalike,ASCII,s -> z
UPS,ups.com,upѕ.com,xn--up-foc.com,IDN-homoglyph,Cyrillic-dze,s -> U+0455
UPS,ups.com,uρs.com,xn--us-pbc.com,IDN-homoglyph,Greek-rho,p -> U+03C1
UPS,ups.com,uрs.com,xn--us-lmc.com,IDN-homoglyph,Cyrillic-er,p -> U+0440
UPS,ups.com,υps.com,xn--ps-0bc.com,IDN-homoglyph,Greek-upsilon,u -> U+03C5
UPS,ups.com,սps.com,xn--ps-qed.com,IDN-homoglyph,Armenian-se,u -> U+057D
WhatsApp,whatsapp.com,vvhatsapp.com,,ASCII-digraph,ASCII,w -> vv
WhatsApp,whatsapp.com,wh4tsapp.com,,ASCII-lookalike,ASCII,a -> 4
WhatsApp,whatsapp.com,wha7sapp.com,,ASCII-lookalike,ASCII,t -> 7
WhatsApp,whatsapp.com,what5app.com,,ASCII-lookalike,ASCII,s -> 5
WhatsApp,whatsapp.com,whats4pp.com,,ASCII-lookalike,ASCII,a -> 4
WhatsApp,whatsapp.com,whatzapp.com,,ASCII-lookalike,ASCII,s -> z
WhatsApp,whatsapp.com,whatsapρ.com,xn--whatsap-vpf.com,IDN-homoglyph,Greek-rho,p -> U+03C1
WhatsApp,whatsapp.com,whatsapр.com,xn--whatsap-wjg.com,IDN-homoglyph,Cyrillic-er,p -> U+0440
WhatsApp,whatsapp.com,whatsaρp.com,xn--whatsap-upf.com,IDN-homoglyph,Greek-rho,p -> U+03C1
WhatsApp,whatsapp.com,whatsaрp.com,xn--whatsap-vjg.com,IDN-homoglyph,Cyrillic-er,p -> U+0440
WhatsApp,whatsapp.com,whatsɑpp.com,xn--whatspp-pbd.com,IDN-homoglyph,Latin-alpha,a -> U+0251
WhatsApp,whatsapp.com,whatsαpp.com,xn--whatspp-5lf.com,IDN-homoglyph,Greek,a -> U+03B1
WhatsApp,whatsapp.com,whatsаpp.com,xn--whatspp-6fg.com,IDN-homoglyph,Cyrillic,a -> U+0430
WhatsApp,whatsapp.com,whatѕapp.com,xn--whatapp-mog.com,IDN-homoglyph,Cyrillic-dze,s -> U+0455
WhatsApp,whatsapp.com,whaτsapp.com,xn--whasapp-gqf.com,IDN-homoglyph,Greek-tau,t -> U+03C4
WhatsApp,whatsapp.com,whɑtsapp.com,xn--whtsapp-mbd.com,IDN-homoglyph,Latin-alpha,a -> U+0251
WhatsApp,whatsapp.com,whαtsapp.com,xn--whtsapp-2lf.com,IDN-homoglyph,Greek,a -> U+03B1
WhatsApp,whatsapp.com,whаtsapp.com,xn--whtsapp-3fg.com,IDN-homoglyph,Cyrillic,a -> U+0430
WhatsApp,whatsapp.com,wһatsapp.com,xn--watsapp-uch.com,IDN-homoglyph,Cyrillic-shha,h -> U+04BB
WhatsApp,whatsapp.com,wհatsapp.com,xn--watsapp-7ii.com,IDN-homoglyph,Armenian-ho,h -> U+0570
WhatsApp,whatsapp.com,ѡhatsapp.com,xn--hatsapp-8qg.com,IDN-homoglyph,Cyrillic-omega,w -> U+0461
Zoom,zoom.com,zoonn.com,,ASCII-digraph,ASCII,m -> nn
Zoom,zoom.us,zoonn.us,,ASCII-digraph,ASCII,m -> nn
Zoom,zoom.com,zoorn.com,,ASCII-digraph,ASCII,m -> rn
Zoom,zoom.us,zoorn.us,,ASCII-digraph,ASCII,m -> rn
Zoom,zoom.com,z0om.com,,ASCII-lookalike,ASCII,o -> 0
Zoom,zoom.us,z0om.us,,ASCII-lookalike,ASCII,o -> 0
Zoom,zoom.com,zo0m.com,,ASCII-lookalike,ASCII,o -> 0
Zoom,zoom.us,zo0m.us,,ASCII-lookalike,ASCII,o -> 0
Zoom,zoom.com,zooм.com,xn--zoo-med.com,IDN-homoglyph,Cyrillic-em,m -> U+043C
Zoom,zoom.us,zooм.us,xn--zoo-med.us,IDN-homoglyph,Cyrillic-em,m -> U+043C
Zoom,zoom.com,zooⅿ.com,zoom.com,IDN-homoglyph,Roman-num,m -> U+217F
Zoom,zoom.us,zooⅿ.us,zoom.us,IDN-homoglyph,Roman-num,m -> U+217F
Zoom,zoom.com,zoοm.com,xn--zom-bzc.com,IDN-homoglyph,Greek-omicron,o -> U+03BF
Zoom,zoom.us,zoοm.us,xn--zom-bzc.us,IDN-homoglyph,Greek-omicron,o -> U+03BF
Zoom,zoom.com,zoоm.com,xn--zom-ted.com,IDN-homoglyph,Cyrillic,o -> U+043E
Zoom,zoom.us,zoоm.us,xn--zom-ted.us,IDN-homoglyph,Cyrillic,o -> U+043E
Zoom,zoom.com,zoօm.com,xn--zom-6ge.com,IDN-homoglyph,Armenian-oh,o -> U+0585
Zoom,zoom.us,zoօm.us,xn--zom-6ge.us,IDN-homoglyph,Armenian-oh,o -> U+0585
Zoom,zoom.com,zοom.com,xn--zom-9yc.com,IDN-homoglyph,Greek-omicron,o -> U+03BF
Zoom,zoom.us,zοom.us,xn--zom-9yc.us,IDN-homoglyph,Greek-omicron,o -> U+03BF
Zoom,zoom.com,zоom.com,xn--zom-sed.com,IDN-homoglyph,Cyrillic,o -> U+043E
Zoom,zoom.us,zоom.us,xn--zom-sed.us,IDN-homoglyph,Cyrillic,o -> U+043E
Zoom,zoom.com,zօom.com,xn--zom-5ge.com,IDN-homoglyph,Armenian-oh,o -> U+0585
Zoom,zoom.us,zօom.us,xn--zom-5ge.us,IDN-homoglyph,Armenian-oh,o -> U+0585
Zoom,zoom.com,ʐoom.com,xn--oom-mzb.com,IDN-homoglyph,Latin-z-retro,z -> U+0290
Zoom,zoom.us,ʐoom.us,xn--oom-mzb.us,IDN-homoglyph,Latin-z-retro,z -> U+0290
iCloud,icloud.com,icloucl.com,,ASCII-digraph,ASCII,d -> cl
iCloud,icloud.com,idoud.com,,ASCII-digraph,ASCII,cl -> d
iCloud,icloud.com,1cloud.com,,ASCII-lookalike,ASCII,i -> 1
iCloud,icloud.com,ic1oud.com,,ASCII-lookalike,ASCII,l -> 1
iCloud,icloud.com,icioud.com,,ASCII-lookalike,ASCII,l -> i
iCloud,icloud.com,icl0ud.com,,ASCII-lookalike,ASCII,o -> 0
iCloud,icloud.com,lcloud.com,,ASCII-lookalike,ASCII,i -> l
iCloud,icloud.com,iclouԁ.com,xn--iclou-2wf.com,IDN-homoglyph,Cyrillic-komi,d -> U+0501
iCloud,icloud.com,iclouⅾ.com,icloud.com,IDN-homoglyph,Roman-num,d -> U+217E
iCloud,icloud.com,icloυd.com,xn--iclod-vde.com,IDN-homoglyph,Greek-upsilon,u -> U+03C5
iCloud,icloud.com,icloսd.com,xn--iclod-bjg.com,IDN-homoglyph,Armenian-se,u -> U+057D
iCloud,icloud.com,iclοud.com,xn--iclud-tce.com,IDN-homoglyph,Greek-omicron,o -> U+03BF
iCloud,icloud.com,iclоud.com,xn--iclud-lye.com,IDN-homoglyph,Cyrillic,o -> U+043E
iCloud,icloud.com,iclօud.com,xn--iclud-nkg.com,IDN-homoglyph,Armenian-oh,o -> U+0585
iCloud,icloud.com,icӏoud.com,xn--icoud-fof.com,IDN-homoglyph,Cyrillic-palochka,l -> U+04CF
iCloud,icloud.com,ic׀oud.com,xn--icoud-qug.com,IDN-homoglyph,Hebrew-paseq,l -> U+05C0
iCloud,icloud.com,icⅼoud.com,icloud.com,IDN-homoglyph,Roman-num,l -> U+217C
iCloud,icloud.com,iϲloud.com,xn--iloud-gde.com,IDN-homoglyph,Greek-lunate,c -> U+03F2
iCloud,icloud.com,iсloud.com,xn--iloud-1ye.com,IDN-homoglyph,Cyrillic,c -> U+0441
iCloud,icloud.com,iⅽloud.com,icloud.com,IDN-homoglyph,Roman-num,c -> U+217D
iCloud,icloud.com,ıcloud.com,xn--cloud-m4a.com,IDN-homoglyph,Latin-dotless,i -> U+0131
iCloud,icloud.com,ιcloud.com,xn--cloud-pbe.com,IDN-homoglyph,Greek-iota,i -> U+03B9
iCloud,icloud.com,іcloud.com,xn--cloud-m2e.com,IDN-homoglyph,Cyrillic-i,i -> U+0456
iCloud,icloud.com,їcloud.com,xn--cloud-s2e.com,IDN-homoglyph,Cyrillic-yi,i -> U+0457
